relig,cappun,age,educ
jewish,,23.0,16.0
catholic,,70.0,10.0
protestant,,48.0,12.0
other,,27.0,17.0
protestant,,61.0,12.0
protestant,,26.0,14.0
catholic,,28.0,13.0
jewish,,27.0,16.0
protestant,,21.0,12.0
protestant,,30.0,12.0
protestant,,30.0,13.0
protestant,,56.0,6.0
protestant,,54.0,9.0
protestant,,49.0,8.0
protestant,,41.0,9.0
protestant,,54.0,14.0
protestant,,24.0,14.0
protestant,,62.0,8.0
protestant,,46.0,17.0
protestant,,21.0,14.0
protestant,,57.0,12.0
protestant,,58.0,11.0
protestant,,21.0,13.0
protestant,,26.0,12.0
protestant,,71.0,16.0
catholic,,53.0,12.0
protestant,,42.0,12.0
protestant,,42.0,12.0
protestant,,20.0,12.0
protestant,,23.0,9.0
protestant,,26.0,6.0
protestant,,25.0,14.0
protestant,,26.0,16.0
protestant,,78.0,8.0
protestant,,21.0,12.0
catholic,,27.0,14.0
protestant,,58.0,13.0
protestant,,35.0,10.0
protestant,,58.0,6.0
protestant,,51.0,12.0
protestant,,76.0,8.0
protestant,,53.0,14.0
protestant,,39.0,8.0
protestant,,64.0,8.0
catholic,,50.0,8.0
protestant,,27.0,12.0
catholic,,25.0,14.0
protestant,,49.0,12.0
protestant,,40.0,9.0
protestant,,43.0,8.0
catholic,,46.0,10.0
catholic,,37.0,14.0
catholic,,46.0,9.0
protestant,,22.0,12.0
catholic,,53.0,10.0
catholic,,35.0,12.0
catholic,,31.0,14.0
catholic,,30.0,12.0
protestant,,37.0,12.0
protestant,,57.0,11.0
protestant,,39.0,12.0
protestant,,62.0,9.0
protestant,,51.0,12.0
catholic,,43.0,11.0
protestant,,39.0,12.0
other,,52.0,8.0
catholic,,30.0,12.0
protestant,,47.0,12.0
catholic,,31.0,12.0
catholic,,25.0,16.0
protestant,,45.0,7.0
protestant,,30.0,12.0
catholic,,68.0,8.0
catholic,,63.0,11.0
catholic,,19.0,12.0
none,,23.0,16.0
catholic,,46.0,10.0
protestant,,55.0,8.0
catholic,,22.0,14.0
catholic,,55.0,12.0
protestant,,44.0,7.0
